OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-31264,2024-017V,2024-11-29T00:32:07.700640,15.04915563,.0001321,53.1584,261.7238,102.6591,257.4546,0,U,58845,999,4799,.42881E-3,.5865E-4,0
STARLINK-31273,2024-017W,2024-11-28T23:48:41.028192,15.34200579,.0001341,53.1602,213.9756,76.5451,283.5701,0,U,58846,999,4867,-.30655E-4,-.1404E-4,0
STARLINK-31262,2024-017X,2024-11-29T02:03:17.123904,15.04932943,.0001687,53.1610,262.1099,92.9651,267.1531,0,U,58847,999,4799,.7703E-3,.10768E-3,0
STARLINK-31238,2024-019A,2024-11-29T01:26:31.940160,15.25895489,.0002502,42.9946,353.9984,249.3641,110.6942,0,U,58853,999,4762,-.25851E-4,-.934E-5,0
STARLINK-31158,2024-019B,2024-11-28T11:54:43.244640,15.25925320,.0000885,42.9984,358.3388,263.9127,96.1623,0,U,58854,999,4782,.3684E-3,.9396E-4,0
STARLINK-31237,2024-019C,2024-11-28T08:39:41.481792,15.25909032,.0001628,42.9987,359.0742,259.4808,100.5860,0,U,58855,999,4780,-.96184E-5,-.509E-5,0
STARLINK-31244,2024-019D,2024-11-28T09:09:00.175392,15.25912126,.0000676,43.0008,359.1825,117.9310,242.1609,0,U,58856,999,4780,.68853E-4,.1544E-4,0
STARLINK-31216,2024-019E,2024-11-29T02:57:42.872832,15.38726620,.0011159,43.0070,350.1505,118.4642,241.7339,0,U,58857,999,4781,.30184E-2,.119943E-2,0
STARLINK-31226,2024-019F,2024-11-29T02:12:49.654368,15.25907605,.0001245,42.9982,355.0650,213.0771,147.0002,0,U,58858,999,4791,.18684E-5,-.209E-5,0
STARLINK-31197,2024-019G,2024-11-28T09:22:00.914304,15.25916531,.0000393,43.0042,359.2570,190.3818,169.7025,0,U,58859,999,4780,.16677E-3,.4108E-4,0
STARLINK-31213,2024-019H,2024-11-29T02:58:26.620608,15.25880432,.0002363,43.0062,355.3217,288.8051,71.2543,0,U,58860,999,4791,.7922E-4,.1813E-4,0
